folder,file,role,occupancy,color,categories,axes,target_kind,target_slug,target_field,variant_sku,status,notes,tags
journal,journal-ravayat-servis-ebteda-ta-nasb.webp,journal,,,,{},article,journal-ravayat-servis-ebteda-ta-nasb,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-cheraa-choob-gerdoo-irani.webp,journal,,,,{},article,journal-cheraa-choob-gerdoo-irani,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-guide-wood-selection.webp,journal,,,,{},article,journal-guide-wood-selection,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-tahkhab-baray-do-nasl.webp,journal,,,,{},article,journal-tahkhab-baray-do-nasl,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-handese-monabbat-emrooz.webp,journal,,,,{},article,journal-handese-monabbat-emrooz,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-komod-haafeze-sonnat.webp,journal,,,,{},article,journal-komod-haafeze-sonnat,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-otaagh-dostane-do-farzand.webp,journal,,,,{},article,journal-otaagh-dostane-do-farzand,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-wood-care-guide.webp,journal,,,,{},article,journal-wood-care-guide,heroImage,,review-slug,match by article slug/topic (manual),journal
journal,journal-bedroom-calm-design.webp,journal,,,,{},article,journal-bedroom-calm-design,heroImage,,review-slug,match by article slug/topic (manual),journal
celine,celine-vanity-chair-picture.webp,main,double,,vanity-chair,{},product,celine-vanity-chair,gallery[0](main),,matched,,"vanity-chair,double,product,picture,main"
celine,celine-console-vanity-mirror-3-pieces-picture.webp,detail,double,,"console,vanity,vanity-mirror",{},product,celine-console-vanity-mirror,gallery(detail),,matched,,"console,vanity,double,vanity-mirror,product,detail"
celine,celine-detail-picture-v3.webp,main,,,"console,vanity,vanity-mirror",{},product,celine-console-vanity-mirror,gallery[0](main),,matched-fallback,,"vanity-mirror,vanity,console,picture,main"
