preview,id,name,slug,age_group,occupancies,featured,tagline,has_description,has_storyBlocks,heroMedia,sliderMedia,gallery_count,gallery_urls,correct? ✓/✗,issue_type,notes,fixed?
,22,بلوط,baloot,,"baby, double, teen",,,,,,,0,,,,,
,25,سلین,celine,,double,,,,,,,0,,,,,
,30,ژاکلین,jacqueline,,"double, teen",,,,,,,0,,,,,
,37,سنتو,sento,,"baby, double, teen",,,,,,,0,,,,,
,38,شایلین,shaylin,,double,,,,,,,0,,,,,
,40,ورنا,verna,,"double, teen",,,,,,,0,,,,,
,41,آدرین,adrian,,bunk,,,,,,,0,,,,,
,42,کاترین,catherine,,"baby, double, teen",,,,,,,0,,,,,
,43,کلاسیک,classic,,"double, teen",,,,,,,0,,,,,
,44,الیزا,eliza,,"double, teen",,,,,,,0,,,,,
,45,نیکان,nikan,,bunk,,,,,,,0,,,,,
,46,روکو,roco,,"double, teen",,,,,,,0,,,,,
,47,رمانتیک,romantic,,"double, teen",,,,,,,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-bw.webp&w=256&q=75"",4,60,80)",23,بلک اند وایت,bw,,teen,,,,,,bedroom-set-bw.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-caroline.webp&w=256&q=75"",4,60,80)",24,کارولین,caroline,,"baby, double, teen",,,,,,bedroom-set-caroline.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-elegance.webp&w=256&q=75"",4,60,80)",26,الگانس,elegance,,teen,,,,,,bedroom-set-elegance.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-elizabeth.webp&w=256&q=75"",4,60,80)",27,الیزابت,elizabeth,,"baby, double, teen",,,,,,bedroom-set-elizabeth.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-gandom.webp&w=256&q=75"",4,60,80)",28,گندم,gandom,,baby,,,,,,bedroom-set-gandom.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-loof.webp&w=256&q=75"",4,60,80)",31,لوف,loof,,"baby, teen",,,,,,bedroom-set-loof.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-lorena.webp&w=256&q=75"",4,60,80)",32,لورنا,lorena,,double,,,,,,bedroom-set-lorena.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-lotus.webp&w=256&q=75"",4,60,80)",33,لوتوس,lotus,,"double, teen",,,,,,bedroom-set-lotus.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-lukaplus.webp&w=256&q=75"",4,60,80)",34,لوکاپلاس,lukaplus,,"double, teen",,,,,,bedroom-set-lukaplus.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-mocha.webp&w=256&q=75"",4,60,80)",35,موکا,mocha,,teen,,,,,,bedroom-set-mocha.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-parla.webp&w=256&q=75"",4,60,80)",36,پارلا,parla,,"baby, bunk, double, teen",,,,,,bedroom-set-parla.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fbedroom-set-skate.webp&w=256&q=75"",4,60,80)",39,اسکیت,skate,,"baby, teen",,,,,,bedroom-set-skate.webp,0,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Firon-scene-all-picture.webp&w=256&q=75"",4,60,80)",29,آیرون,iron,,"double, teen",,,,,,iron-scene-all-picture.webp,0,,,,,
