preview,id,status,design,piece_type,name,slug,sku,occupancies,basePriceRials,salePriceRials,leadTimeDays,warrantyYears,afterSalesYears,availability,dimensions,materials,categories,tags,featured,shortDescription,has_longDesc,has_seo,media_count,media_filenames,media_urls,correct? ✓/✗,issue_type,notes,fixed?
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-wardrobe-2-doors-mdf-picture.webp&w=256&q=75"",4,60,80)",578,published,ورنا,,کمد ورنا,verna-wardrobe,verna-wardrobe,"double, teen",671660000,,14,5,5,in_stock,width:120 · height:220 · depth:60,,کمد,,,,,,2,verna-wardrobe-2-doors-mdf-picture.webp; verna-wardrobe-2-doors-mdf.webp,http://80.240.31.146:3000/api/media/file/verna-wardrobe-2-doors-mdf-picture.webp; http://80.240.31.146:3000/api/media/file/verna-wardrobe-2-doors-mdf.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-vanity-3-drawers-picture-v2.webp&w=256&q=75"",4,60,80)",577,draft,ورنا,,میز آرایش ورنا,verna-vanity,verna-vanity,"double, teen",0,,14,5,5,made_to_order,width:100 · height:78 · depth:45,,میز آرایش,,,,,,5,verna-vanity-3-drawers-picture-v2.webp; verna-vanity-3-drawers-picture.webp; verna-vanity-3-drawers-v2-alt.webp; verna-vanity-3-drawers-v2.webp; verna-vanity-3-drawers.webp,http://80.240.31.146:3000/api/media/file/verna-vanity-3-drawers-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-vanity-3-drawers-picture.webp; http://80.240.31.146:3000/api/media/file/verna-vanity-3-drawers-v2-alt.webp; http://80.240.31.146:3000/api/media/file/verna-vanity-3-drawers-v2.webp; http://80.240.31.146:3000/api/media/file/verna-vanity-3-drawers.webp,,,,
,576,draft,ورنا,,آینه رومیزی ورنا,verna-table-mirror,verna-table-mirror,"double, teen",88520000,,14,5,5,in_stock,width:60 · height:70 · depth:5,,آینه رومیزی,,,,,,0,,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-study-desk-light-picture-v2.webp&w=256&q=75"",4,60,80)",575,published,ورنا,,میز تحریر ورنا,verna-study-desk,verna-study-desk,"double, teen",473540000,,14,5,5,in_stock,width:120 · height:75 · depth:60,,میز تحریر,,,,,,9,verna-study-desk-light-picture-v2.webp; verna-study-desk-light-picture-v3.webp; verna-study-desk-light-picture-v4.webp; verna-study-desk-light-picture.webp; verna-study-desk-picture-v2.webp; verna-study-desk-picture-v3.webp; verna-study-desk-picture.webp; verna-study-desk-light.webp; verna-study-desk.webp,http://80.240.31.146:3000/api/media/file/verna-study-desk-light-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-light-picture-v3.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-light-picture-v4.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-light-picture.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-picture-v3.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-picture.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk-light.webp; http://80.240.31.146:3000/api/media/file/verna-study-desk.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-single-bed-120-picture-v2.webp&w=256&q=75"",4,60,80)",574,published,ورنا,,تخت یک نفره ورنا,verna-single-bed,verna-single-bed,"double, teen",419690000,,14,5,5,in_stock,width:100 · height:110 · depth:210,,تخت یک نفره,,,,,,6,verna-single-bed-120-picture-v2.webp; verna-single-bed-120-picture-v3.webp; verna-single-bed-120-picture-v4.webp; verna-single-bed-120-picture-v5.webp; verna-single-bed-120-picture.webp; verna-single-bed-120.webp,http://80.240.31.146:3000/api/media/file/verna-single-bed-120-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-single-bed-120-picture-v3.webp; http://80.240.31.146:3000/api/media/file/verna-single-bed-120-picture-v4.webp; http://80.240.31.146:3000/api/media/file/verna-single-bed-120-picture-v5.webp; http://80.240.31.146:3000/api/media/file/verna-single-bed-120-picture.webp; http://80.240.31.146:3000/api/media/file/verna-single-bed-120.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-nightstand-picture-v2.webp&w=256&q=75"",4,60,80)",573,published,ورنا,,پاتختی ورنا,verna-nightstand,verna-nightstand,"double, teen",174300000,,14,5,5,in_stock,width:50 · height:55 · depth:40,,پاتختی,,,,,,3,verna-nightstand-picture-v2.webp; verna-nightstand-picture.webp; verna-nightstand.webp,http://80.240.31.146:3000/api/media/file/verna-nightstand-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-nightstand-picture.webp; http://80.240.31.146:3000/api/media/file/verna-nightstand.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-double-bed-160-picture-v2.webp&w=256&q=75"",4,60,80)",572,published,ورنا,,تخت دونفره ورنا,verna-double-bed,verna-double-bed,"double, teen",528650000,,14,5,5,in_stock,width:160 · height:110 · depth:215,,تخت دونفره,,,,,,2,verna-double-bed-160-picture-v2.webp; verna-double-bed-160-picture-v3.webp,http://80.240.31.146:3000/api/media/file/verna-double-bed-160-picture-v2.webp; http://80.240.31.146:3000/api/media/file/verna-double-bed-160-picture-v3.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fverna-bookcase-picture.webp&w=256&q=75"",4,60,80)",571,published,ورنا,,کتابخانه ورنا,verna-bookcase,verna-bookcase,"double, teen",475680000,,14,5,5,in_stock,width:80 · height:200 · depth:35,,کتابخانه,,,,,,2,verna-bookcase-picture.webp; verna-bookcase.webp,http://80.240.31.146:3000/api/media/file/verna-bookcase-picture.webp; http://80.240.31.146:3000/api/media/file/verna-bookcase.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-wardrobe-3-doors-mdf.webp&w=256&q=75"",4,60,80)",570,published,اسکیت,,کمد اسکیت,skate-wardrobe,skate-wardrobe,"baby, teen",784710000,,14,5,5,in_stock,width:120 · height:220 · depth:60,,کمد,,,,,,1,skate-wardrobe-3-doors-mdf.webp,http://80.240.31.146:3000/api/media/file/skate-wardrobe-3-doors-mdf.webp,,,,
,569,draft,اسکیت,,شلف دیواری اسکیت,skate-wall-shelf,skate-wall-shelf,"baby, teen",183180000,,14,5,5,in_stock,width:80 · height:25 · depth:25,,شلف دیواری (براکت),,,,,,0,,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-wall-mirror.webp&w=256&q=75"",4,60,80)",568,published,اسکیت,,آینه دیواری اسکیت,skate-wall-mirror,skate-wall-mirror,"baby, teen",106020000,,14,5,5,in_stock,width:80 · height:100 · depth:5,,آینه دیواری,,,,,,1,skate-wall-mirror.webp,http://80.240.31.146:3000/api/media/file/skate-wall-mirror.webp,,,,
,567,draft,اسکیت,,میز آرایش اسکیت,skate-vanity,skate-vanity,"baby, teen",408630000,,14,5,5,in_stock,width:100 · height:78 · depth:45,,میز آرایش,,,,,,0,,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-study-desk-hutch.webp&w=256&q=75"",4,60,80)",566,published,اسکیت,,میز تحریر اسکیت,skate-study-desk,skate-study-desk,"baby, teen",503360000,,14,5,5,in_stock,width:120 · height:75 · depth:60,,میز تحریر,,,,,,1,skate-study-desk-hutch.webp,http://80.240.31.146:3000/api/media/file/skate-study-desk-hutch.webp,,,,
,565,draft,اسکیت,,صندلی میز تحریر اسکیت,skate-study-chair,skate-study-chair,"baby, teen",0,,14,5,5,made_to_order,width:50 · height:85 · depth:50,,صندلی میز تحریر,,,,,,0,,,,,,
,564,draft,اسکیت,,آینه قدی اسکیت,skate-standing-mirror,skate-standing-mirror,"baby, teen",338720000,,14,5,5,in_stock,width:60 · height:180 · depth:5,,آینه قدی,,,,,,0,,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-single-bed-100.webp&w=256&q=75"",4,60,80)",563,published,اسکیت,,تخت یک نفره اسکیت,skate-single-bed,skate-single-bed,"baby, teen",366040000,,14,5,5,in_stock,width:100 · height:110 · depth:210,,تخت یک نفره,,,,,,1,skate-single-bed-100.webp,http://80.240.31.146:3000/api/media/file/skate-single-bed-100.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-nightstand.webp&w=256&q=75"",4,60,80)",562,published,اسکیت,,پاتختی اسکیت,skate-nightstand,skate-nightstand,"baby, teen",184180000,,14,5,5,in_stock,width:50 · height:55 · depth:40,,پاتختی,,,,,,1,skate-nightstand.webp,http://80.240.31.146:3000/api/media/file/skate-nightstand.webp,,,,
,561,draft,اسکیت,,تخت نوزاد دومنظوره اسکیت,skate-convertible-bed,skate-convertible-bed,"baby, teen",0,,14,5,5,made_to_order,width:90 · height:105 · depth:195,,تخت نوزاد دومظوره (نوزاد نوجوان، کاناپه ای),,,,,,0,,,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fskate-bookcase-1-drawer.webp&w=256&q=75"",4,60,80)",560,published,اسکیت,,کتابخانه اسکیت,skate-bookcase,skate-bookcase,"baby, teen",192290000,,14,5,5,in_stock,width:80 · height:200 · depth:35,,کتابخانه,,,,,,2,skate-bookcase-1-drawer.webp; skate-bookcase.webp,http://80.240.31.146:3000/api/media/file/skate-bookcase-1-drawer.webp; http://80.240.31.146:3000/api/media/file/skate-bookcase.webp,,,,
"=IMAGE(""http://80.240.31.146:3000/_next/image?url=%2Fapi%2Fmedia%2Ffile%2Fshaylin-vanity-chair-picture-v2.webp&w=256&q=75"",4,60,80)",559,published,شایلین,,صندلی میز آرایش شایلین,shaylin-vanity-chair,shaylin-vanity-chair,double,173190000,,14,5,5,in_stock,width:100 · height:78 · depth:45,,صندلی میز آرایش,,,,,,2,shaylin-vanity-chair-picture-v2.webp; shaylin-vanity-chair-picture.webp,http://80.240.31.146:3000/api/media/file/shaylin-vanity-chair-picture-v2.webp; http://80.240.31.146:3000/api/media/file/shaylin-vanity-chair-picture.webp,,,,
