CREATE VIEW
id,filename,ref_count,sources
938,3fa773ad-cde6-48a9-a699-ad046b36c67e-1.webp,1,rooms.cover_id
339,3fa773ad-cde6-48a9-a699-ad046b36c67e.webp,0,""
939,8c271a60-3faf-477a-8353-39a63a077ea0-1.webp,1,rooms.cover_id
340,8c271a60-3faf-477a-8353-39a63a077ea0.webp,0,""
199,AYNE GHADI.webp,0,""
77,AYNE REGAL DAR.webp,0,""
162,AYNE.webp,0,""
79,DERAVER.webp,0,""
81,KETABKHANE acc.webp,0,""
82,KETABKHANE.webp,0,""
84,KOMOD 1 DAR.webp,0,""
86,KOMOD 2 DAR-1.webp,0,""
34,KOMOD 2 DAR.webp,0,""
35,KOMOD 3 DAR.webp,0,""
265,MIZ ARAYESH mid.webp,0,""
266,MIZ ARAYESH-1.webp,0,""
25,MIZ ARAYESH.webp,0,""
26,MIZ ARAYESH4k.webp,0,""
137,MIZ TAVIZ.webp,0,""
101,NOZAD.webp,0,""
269,PA TAKHTY-1.webp,0,""
71,PA TAKHTY.webp,0,""
154,PANNEL USB.webp,0,""
54,TAKHT 100-1.webp,0,""
72,TAKHT 100-2.webp,0,""
168,TAKHT 100-3.webp,0,""
174,TAKHT 100-4.webp,0,""
271,TAKHT 100-5.webp,0,""
52,TAKHT 100.webp,0,""
55,TAKHT 120-1.webp,0,""
175,TAKHT 120-2.webp,0,""
36,TAKHT 120.webp,0,""
272,TAKHT 160.webp,0,""
57,TAKHT NOZAD-1.webp,0,""
38,TAKHT NOZAD.webp,0,""
329,ab58082b-db29-4d05-996b-8fa9b593c666-1.webp,0,""
940,ab58082b-db29-4d05-996b-8fa9b593c666-2.webp,1,rooms.cover_id
323,ab58082b-db29-4d05-996b-8fa9b593c666.webp,0,""
330,all (2)-1.webp,0,""
324,all (2).webp,0,""
331,all (3)-1.webp,0,""
325,all (3).webp,0,""
332,all (4)-1.webp,0,""
326,all (4).webp,0,""
333,all (5)-1.webp,0,""
327,all (5).webp,0,""
334,all (6)-1.webp,0,""
328,all (6).webp,0,""
75,all-1.webp,0,""
127,all-2.webp,0,""
254,all-3.webp,0,""
335,all-4.webp,0,""
336,all-5.webp,0,""
13,all.webp,0,""
248,ayne deraver.webp,0,""
76,ayne divary.webp,0,""
14,ayne gerd.webp,0,""
30,ayne ghadi-1.webp,0,""
249,ayne ghadi-10.webp,0,""
255,ayne ghadi-11.webp,0,""
278,ayne ghadi-12.webp,0,""
39,ayne ghadi-2.webp,0,""
58,ayne ghadi-3.webp,0,""
88,ayne ghadi-4.webp,0,""
107,ayne ghadi-5.webp,0,""
128,ayne ghadi-6.webp,0,""
176,ayne ghadi-7.webp,0,""
221,ayne ghadi-8.webp,0,""
235,ayne ghadi-9.webp,0,""
15,ayne ghadi.webp,0,""
31,ayne grd.webp,0,""
257,ayne miz arayesh mid.webp,0,""
129,ayne miz arayesh-1.webp,0,""
177,ayne miz arayesh-2.webp,0,""
236,ayne miz arayesh-3.webp,0,""
256,ayne miz arayesh-4.webp,0,""
279,ayne miz arayesh-5.webp,0,""
89,ayne miz arayesh.webp,0,""
59,ayne ro mizi-1.webp,0,""
146,ayne ro mizi-2.webp,0,""
40,ayne ro mizi.webp,0,""
16,ayne sade.webp,0,""
200,ayne taviz.webp,0,""
78,ayune ghadi.webp,0,""
